post_id,post_timestamp,post_content,user_id
1,2023-01-02 10:15:21,"Just attended The Weeknd's concert, what a night!",3
2,2023-01-04 15:36:22,"Listening to the latest Adele album, it's fantastic.",62
3,2023-01-06 12:21:54,Can't believe I'm seeing Coldplay live tonight! #ColdplayConcert #Live,12
4,2023-01-07 18:05:39,"Throwback to when I attended the Rolling Stones concert, amazing experience.",27
5,2023-01-09 20:01:11,Practicing my guitar skills #MusicLover,45
6,2023-01-11 09:12:58,Just bought tickets to see BTS in concert!,2
7,2023-01-14 22:08:43,Listening to the new Imagine Dragons album on repeat,33
8,2023-01-16 11:20:05,"Attending my first jazz concert tonight, can't wait!",18
9,2023-01-18 17:44:24,Learning how to play the piano #ClassicalMusic,59
10,2023-01-20 15:22:36,Drake's new album is fire! #Drake,81
11,2023-01-22 18:35:47,"Got my tickets for Billie Eilish's concert, super excited!",43
12,2023-01-24 19:22:13,The local band concert was incredible #SupportLocalMusic,20
13,2023-01-26 10:06:55,In love with the new Ariana Grande song #ArianaGrande,66
14,2023-01-28 21:01:24,Can't wait for the Foo Fighters concert next week!,15
15,2023-01-31 13:35:39,Bruno Mars' performance last night was top-notch!,55
16,2023-02-02 16:21:00,Post Malone's concert was epic! #PostMalone,61
17,2023-02-04 12:40:13,My review of the new Dua Lipa album is up #MusicReview,29
18,2023-02-06 20:31:42,"Starting a new band with my friends, can't wait to make music together",47
19,2023-02-08 14:25:23,Going to the Ed Sheeran concert tonight! #EdSheeran,78
20,2023-02-11 15:50:38,The new Twenty One Pilots album is amazing,35
21,2023-02-13 18:44:05,"Got the tickets for the Taylor Swift concert, can't wait!",51
22,2023-02-16 11:11:11,"Just saw the best street musician ever, incredible talent out there!",57
23,2023-02-18 19:23:16,The classical concert at the local theater was mesmerizing #ClassicalMusic,82
24,2023-02-20 15:36:48,The Red Hot Chili Peppers concert was wild! #RHCP,44
25,2023-02-22 10:58:22,"Learning to play the drums, harder than it looks #Music",72
26,2023-02-24 16:21:33,"Rihanna's new single is fantastic, can't stop listening to it",67
27,2023-02-26 12:05:50,Off to the Shawn Mendes concert! #ShawnMendes,85
28,2023-02-28 14:33:07,Can't believe how good the new Tame Impala album is!,56
29,2023-03-02 11:22:44,"Writing a new song today, wish me luck #Songwriting",46
30,2023-03-04 20:05:12,Just watched a phenomenal live performance of a local band #LiveMusic,79
